City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
80,Pandan,14.0453,124.1694,81.36,87,93,10.69,PH,overcast clouds
81,Beloha,-25.1667,45.05,72.05,70,40,4.03,MG,scattered clouds
82,Port Lincoln,-34.7333,135.8667,74.5,53,81,13.58,AU,broken clouds
83,Trairi,-3.2778,-39.2689,79.52,77,84,12.95,BR,broken clouds
84,Saint-Leu,-21.15,55.2833,74.26,81,35,6.69,RE,scattered clouds
85,Port Alfred,-33.5906,26.891,62.19,91,100,6.93,ZA,overcast clouds
86,Bronnoysund,65.4625,12.1997,26.6,74,10,5.01,NO,clear sky
87,Sanchez,19.2281,-69.6137,71.1,90,34,5.08,DO,scattered clouds
88,Kruisfontein,-34.0033,24.7314,60.89,82,100,3.38,ZA,overcast clouds
89,Coihaique,-45.5752,-72.0662,49.95,50,0,6.91,CL,clear sky
90,Phenix City,32.471,-85.0008,61.38,97,40,0.0,US,fog
91,Camopi,3.1655,-52.3158,70.92,99,100,1.72,GF,overcast clouds
92,Cherdyn,60.403,56.4787,6.82,97,100,4.85,RU,overcast clouds
93,Mahebourg,-20.4081,57.7,73.69,83,40,0.0,MU,scattered clouds
94,Leningradskiy,69.3833,178.4167,11.7,86,100,13.22,RU,light snow
95,San Patricio,28.017,-97.5169,71.46,84,100,9.04,US,overcast clouds
96,Cervo,43.6702,-7.4101,46.96,74,91,7.0,ES,overcast clouds
97,Poyarkovo,49.6,128.6833,-9.83,85,22,6.58,RU,few clouds
98,Khandyga,62.6667,135.6,-29.49,97,100,2.46,RU,overcast clouds
99,Camapua,-19.5314,-54.0439,72.39,93,100,2.33,BR,moderate rain
100,Camacupa,-12.0167,17.4833,60.91,95,95,1.54,AO,overcast clouds
101,Taltal,-25.4,-70.4833,65.5,74,10,3.18,CL,clear sky
102,Kimbe,-5.5502,150.1429,85.41,71,68,6.02,PG,light rain
103,Lima,-12.0432,-77.0282,67.89,76,0,14.97,PE,clear sky
104,Pallasovka,50.05,46.8833,11.89,62,0,9.1,RU,clear sky
105,Tilichiki,60.4667,166.1,3.42,79,20,6.85,RU,few clouds
106,Saskylakh,71.9167,114.0833,10.42,93,100,23.91,RU,snow
107,Georgetown,5.4112,100.3354,80.89,89,20,3.44,MY,mist
108,Vao,-22.6667,167.4833,75.88,91,100,6.71,NC,overcast clouds
109,Sobolevo,54.4299,31.8996,18.77,93,100,9.35,RU,overcast clouds
110,Xiamen,24.4798,118.0819,70.25,83,75,2.24,CN,broken clouds
111,Acapulco,16.8634,-99.8901,79.07,72,0,6.76,MX,clear sky
112,Chuy,-33.6971,-53.4616,65.16,96,93,3.22,UY,overcast clouds
113,Karpogory,64.0019,44.4451,8.91,95,100,4.18,RU,overcast clouds
114,Whyalla,-33.0333,137.5833,91.65,21,11,10.11,AU,few clouds
115,Mar Del Plata,-38.0023,-57.5575,65.95,78,0,5.75,AR,clear sky
